make,model,brand,price_eur,mileage_km,registration_date,registration_year,registration_month,fuel_type,listing_country,page,price_outlier_iqr,mileage_outlier_iqr,logical_issue,age_years
bmw,114,bmw,6950,197000.0,2016-01-01,2016.0,1.0,diesel,belgium,1,False,False,False,9.0
bmw,316,bmw,799,174771.0,2002-12-01,2002.0,12.0,petrol,germany,1,False,False,False,23.0
bmw,316,bmw,3990,205000.0,2010-12-01,2010.0,12.0,diesel,italy,1,False,False,False,15.0
bmw,220,bmw,11990,185858.0,2014-02-01,2014.0,2.0,diesel,italy,1,False,False,False,11.0
bmw,318,bmw,4500,190000.0,2006-05-01,2006.0,5.0,petrol,belgium,1,False,False,False,19.0
bmw,x1,bmw,8799,216000.0,2011-06-01,2011.0,6.0,diesel,germany,1,False,True,False,14.0
bmw,x3,bmw,9700,199000.0,2016-01-01,2016.0,1.0,diesel,italy,1,False,False,False,9.0
bmw,420,bmw,17000,90000.0,2014-12-01,2014.0,12.0,diesel,italy,1,False,False,False,11.0
bmw,318,bmw,7690,225900.0,2012-06-01,2012.0,6.0,diesel,germany,1,False,True,False,13.0
bmw,220,bmw,11499,114700.0,2016-12-01,2016.0,12.0,petrol,germany,1,False,False,False,9.0
bmw,318,bmw,7999,222981.0,2016-04-01,2016.0,4.0,diesel,germany,1,False,True,False,9.0
bmw,x5,bmw,64999,24000.0,2022-11-01,2022.0,11.0,2,belgium,1,False,False,False,3.0
bmw,320,bmw,9999,141537.0,2008-11-01,2008.0,11.0,petrol,netherlands,2,False,False,False,17.0
bmw,316,bmw,9300,110696.0,2013-06-01,2013.0,6.0,petrol,germany,2,False,False,False,12.0
bmw,116,bmw,7900,165362.0,2012-12-01,2012.0,12.0,diesel,italy,2,False,False,False,13.0
bmw,x6,bmw,14911,224100.0,2012-05-01,2012.0,5.0,diesel,netherlands,2,False,True,False,13.0
bmw,318,bmw,5999,165000.0,2010-05-01,2010.0,5.0,petrol,germany,2,False,False,False,15.0
bmw,318,bmw,10990,88000.0,2012-09-01,2012.0,9.0,diesel,italy,2,False,False,False,13.0
bmw,220,bmw,11000,82301.0,2014-08-01,2014.0,8.0,petrol,germany,2,False,False,False,11.0
bmw,120,bmw,4935,192729.0,2008-05-01,2008.0,5.0,petrol,netherlands,2,False,False,False,17.0
bmw,118,bmw,12500,170000.0,2018-02-01,2018.0,2.0,diesel,italy,2,False,False,False,7.0
bmw,x1,bmw,8950,144520.0,2013-01-01,2013.0,1.0,diesel,germany,2,False,False,False,12.0
bmw,x4,bmw,15900,215000.0,2015-05-01,2015.0,5.0,diesel,italy,2,False,True,False,10.0
bmw,114,bmw,6950,197000.0,2016-01-01,2016.0,1.0,diesel,belgium,3,False,False,False,9.0
bmw,x1,bmw,5999,192483.0,2011-04-01,2011.0,4.0,diesel,germany,3,False,False,False,14.0
bmw,530,bmw,20690,155000.0,2015-08-01,2015.0,8.0,diesel,germany,3,False,False,False,10.0
bmw,120,bmw,10450,188500.0,2016-06-01,2016.0,6.0,petrol,germany,3,False,False,False,9.0
bmw,x3,bmw,8990,157000.0,2009-01-01,2009.0,1.0,diesel,germany,3,False,False,False,16.0
bmw,318,bmw,11450,164507.0,2015-08-01,2015.0,8.0,diesel,belgium,3,False,False,False,10.0
bmw,x1,bmw,7689,222160.0,2016-06-01,2016.0,6.0,petrol,germany,3,False,True,False,9.0
bmw,418,bmw,13490,192697.0,2017-04-01,2017.0,4.0,diesel,belgium,3,False,False,False,8.0
bmw,316,bmw,7990,189750.0,2014-05-01,2014.0,5.0,diesel,germany,3,False,False,False,11.0
bmw,116,bmw,7500,189950.0,2014-03-01,2014.0,3.0,diesel,a,3,False,False,False,11.0
bmw,x1,bmw,18900,45900.0,2022-05-01,2022.0,5.0,diesel,italy,3,False,False,False,3.0
bmw,320,bmw,11980,175292.0,2014-09-01,2014.0,9.0,diesel,germany,3,False,False,False,11.0
bmw,x2,bmw,16900,113268.0,2018-11-01,2018.0,11.0,diesel,italy,3,False,False,False,7.0
bmw,550,bmw,9800,151921.0,2010-06-01,2010.0,6.0,petrol,germany,3,False,False,False,15.0
bmw,320,bmw,12790,183524.0,2017-01-01,2017.0,1.0,diesel,a,3,False,False,False,8.0
bmw,316,bmw,799,174771.0,2002-12-01,2002.0,12.0,petrol,germany,4,False,False,False,23.0
bmw,x1,bmw,17900,149000.0,2021-10-01,2021.0,10.0,diesel,italy,4,False,False,False,4.0
bmw,318,bmw,9900,155000.0,2012-05-01,2012.0,5.0,diesel,italy,4,False,False,False,13.0
bmw,m2,bmw,64750,16438.0,2024-07-01,2024.0,7.0,petrol,belgium,4,False,False,False,1.0
bmw,i3,bmw,13985,100000.0,2020-06-01,2020.0,6.0,electric,germany,4,False,False,False,5.0
bmw,318,bmw,14900,115000.0,2015-09-01,2015.0,9.0,diesel,italy,4,False,False,False,10.0
bmw,116,bmw,18495,75000.0,2021-11-01,2021.0,11.0,diesel,belgium,4,False,False,False,4.0
bmw,x1,bmw,12990,150000.0,2017-08-01,2017.0,8.0,diesel,belgium,4,False,False,False,8.0
bmw,118,bmw,9799,206185.0,2019-03-01,2019.0,3.0,petrol,germany,4,False,False,False,6.0
bmw,318,bmw,21390,45222.0,2020-10-01,2020.0,10.0,diesel,belgium,4,False,False,False,5.0
bmw,520,bmw,15899,210500.0,2017-05-01,2017.0,5.0,diesel,germany,4,False,False,False,8.0
bmw,540,bmw,35900,86149.0,2018-07-01,2018.0,7.0,petrol,germany,4,False,False,False,7.0
bmw,116,bmw,6490,109000.0,2008-10-01,2008.0,10.0,petrol,italy,4,False,False,False,17.0
bmw,535,bmw,18999,198736.0,2016-07-01,2016.0,7.0,diesel,germany,4,False,False,False,9.0
bmw,x1,bmw,13000,165000.0,2017-04-01,2017.0,4.0,diesel,italy,4,False,False,False,8.0
bmw,120,bmw,29980,13290.0,2025-04-01,2025.0,4.0,petrol,germany,4,False,False,False,0.0
bmw,x5,bmw,45999,87000.0,2020-01-01,2020.0,1.0,2,belgium,4,False,False,False,5.0
bmw,440,bmw,23900,186258.0,2017-04-01,2017.0,4.0,petrol,belgium,4,False,False,False,8.0
bmw,i3,bmw,9900,57954.0,2016-06-01,2016.0,6.0,electric,netherlands,4,False,False,False,9.0
bmw,316,bmw,3990,205000.0,2010-12-01,2010.0,12.0,diesel,italy,5,False,False,False,15.0
bmw,540,bmw,36900,85734.0,2018-03-01,2018.0,3.0,petrol,germany,5,False,False,False,7.0
bmw,320,bmw,39995,16500.0,2025-03-01,2025.0,3.0,petrol,belgium,5,False,False,False,0.0
bmw,530,bmw,22500,199267.0,2018-04-01,2018.0,4.0,diesel,germany,5,False,False,False,7.0
bmw,118,bmw,13990,129180.0,2018-02-01,2018.0,2.0,petrol,germany,5,False,False,False,7.0
bmw,116,bmw,7480,94000.0,2012-03-01,2012.0,3.0,petrol,germany,5,False,False,False,13.0
bmw,520,bmw,16990,150000.0,2019-02-01,2019.0,2.0,diesel,italy,5,False,False,False,6.0
bmw,116,bmw,10590,75000.0,2012-05-01,2012.0,5.0,petrol,italy,5,False,False,False,13.0
bmw,316,bmw,1790,170100.0,2002-09-01,2002.0,9.0,petrol,germany,5,False,False,False,23.0
bmw,116,bmw,10000,129000.0,2017-09-01,2017.0,9.0,diesel,belgium,5,False,False,False,8.0
bmw,525,bmw,20999,130000.0,2016-12-01,2016.0,12.0,diesel,germany,5,False,False,False,9.0
bmw,330,bmw,36900,28505.0,2021-08-01,2021.0,8.0,2,belgium,5,False,False,False,4.0
bmw,216,bmw,9890,149600.0,2017-06-01,2017.0,6.0,petrol,italy,5,False,False,False,8.0
bmw,325,bmw,8990,150100.0,2007-11-01,2007.0,11.0,petrol,germany,5,False,False,False,18.0
bmw,x1,bmw,12300,55900.0,2014-04-01,2014.0,4.0,petrol,germany,5,False,False,False,11.0
bmw,320,bmw,20999,111421.0,2020-04-01,2020.0,4.0,diesel,germany,5,False,False,False,5.0
bmw,x1,bmw,8990,119986.0,2011-05-01,2011.0,5.0,petrol,germany,5,False,False,False,14.0
bmw,x4,bmw,18498,188000.0,2018-05-01,2018.0,5.0,diesel,germany,5,False,False,False,7.0
bmw,116,bmw,13900,70000.0,2017-02-01,2017.0,2.0,diesel,italy,5,False,False,False,8.0
bmw,220,bmw,11990,185858.0,2014-02-01,2014.0,2.0,diesel,italy,6,False,False,False,11.0
bmw,420,bmw,17999,96000.0,2015-02-01,2015.0,2.0,diesel,germany,6,False,False,False,10.0
bmw,z4,bmw,16900,113000.0,2013-10-01,2013.0,10.0,petrol,belgium,6,False,False,False,12.0
bmw,116,bmw,4750,148500.0,2010-09-01,2010.0,9.0,petrol,germany,6,False,False,False,15.0
bmw,x1,bmw,10999,161000.0,2013-12-01,2013.0,12.0,diesel,germany,6,False,False,False,12.0
bmw,120,bmw,14980,67000.0,2015-10-01,2015.0,10.0,petrol,germany,6,False,False,False,10.0
bmw,116,bmw,14900,112300.0,2021-08-01,2021.0,8.0,diesel,italy,6,False,False,False,4.0
bmw,420,bmw,35950,33544.0,2021-07-01,2021.0,7.0,petrol,belgium,6,False,False,False,4.0
bmw,118,bmw,19900,18000.0,2023-12-01,2023.0,12.0,petrol,italy,6,False,False,False,2.0
bmw,740,bmw,11990,214000.0,2012-10-01,2012.0,10.0,petrol,a,6,False,False,False,13.0
bmw,i3,bmw,11599,54590.0,2017-10-01,2017.0,10.0,electric,belgium,6,False,False,False,8.0
bmw,116,bmw,10740,155321.0,2016-08-01,2016.0,8.0,petrol,netherlands,6,False,False,False,9.0
bmw,635,bmw,14990,135000.0,2008-05-01,2008.0,5.0,diesel,italy,6,False,False,False,17.0
bmw,430,bmw,21950,161247.0,2017-01-01,2017.0,1.0,petrol,netherlands,6,False,False,False,8.0
bmw,430,bmw,26400,42914.0,2019-01-01,2019.0,1.0,petrol,germany,6,False,False,False,6.0
bmw,118,bmw,33900,12000.0,2025-05-01,2025.0,5.0,diesel,italy,6,False,False,False,0.0
bmw,320,bmw,22990,152211.0,2021-04-01,2021.0,4.0,diesel,germany,6,False,False,False,4.0
bmw,118,bmw,8999,182000.0,2018-05-01,2018.0,5.0,petrol,germany,6,False,False,False,7.0
bmw,ix3,bmw,32495,104600.0,2022-10-01,2022.0,10.0,electric,belgium,6,False,False,False,3.0
bmw,x4 m,bmw,46900,16564.0,2022-07-01,2022.0,7.0,petrol,germany,7,False,False,False,3.0
bmw,318,bmw,12499,148763.0,2018-06-01,2018.0,6.0,diesel,germany,7,False,False,False,7.0
bmw,x1,bmw,19500,96744.0,2020-01-01,2020.0,1.0,diesel,italy,7,False,False,False,5.0
bmw,118,bmw,19890,84353.0,2020-05-01,2020.0,5.0,petrol,italy,7,False,False,False,5.0
bmw,x1,bmw,39900,17000.0,2025-04-01,2025.0,4.0,diesel,italy,7,False,False,False,0.0
bmw,420,bmw,31990,154600.0,2022-02-01,2022.0,2.0,3,italy,7,False,False,False,3.0
bmw,340,bmw,32900,74998.0,2016-01-01,2016.0,1.0,petrol,germany,7,False,False,False,9.0
bmw,x2,bmw,15900,182000.0,2019-03-01,2019.0,3.0,diesel,italy,7,False,False,False,6.0
bmw,520,bmw,7990,191791.0,2012-03-01,2012.0,3.0,petrol,belgium,7,False,False,False,13.0
bmw,420,bmw,18990,165000.0,2014-07-01,2014.0,7.0,diesel,a,7,False,False,False,11.0
bmw,118,bmw,14099,127942.0,2020-03-01,2020.0,3.0,petrol,belgium,7,False,False,False,5.0
bmw,x1,bmw,14990,175142.0,2019-02-01,2019.0,2.0,diesel,germany,7,False,False,False,6.0
bmw,116,bmw,12499,156235.0,2017-05-01,2017.0,5.0,diesel,belgium,7,False,False,False,8.0
bmw,535,bmw,16000,197930.0,2017-02-01,2017.0,2.0,diesel,germany,7,False,False,False,8.0
