make,model,brand,price_eur,price_label,mileage_km,power_hp,registration_date,registration_year,registration_month,fuel_type,listing_country,page,price_outlier_iqr,mileage_outlier_iqr,power_outlier_iqr,logical_issue,age_years
audi,a3,audi,690,toolow-price,234163.0,105.0,2003-06-01,2003.0,6.0,diesel,germany,1,False,False,False,False,22.0
audi,a3,audi,16980,good-price,76000.0,179.0,2014-12-01,2014.0,12.0,petrol,germany,1,False,False,False,False,11.0
audi,a3,audi,9950,top-price,174549.0,110.0,2015-04-01,2015.0,4.0,diesel,germany,1,False,False,False,False,10.0
audi,a3,audi,13950,top-price,91700.0,179.0,2013-12-01,2013.0,12.0,petrol,germany,1,False,False,False,False,12.0
audi,a3,audi,22950,top-price,36216.0,150.0,2022-12-01,2022.0,12.0,petrol,germany,1,False,False,False,False,3.0
audi,a3,audi,15990,top-price,86100.0,150.0,2017-02-01,2017.0,2.0,petrol,germany,1,False,False,False,False,8.0
audi,a3,audi,6980,good-price,210000.0,125.0,2015-04-01,2015.0,4.0,petrol,germany,1,False,False,False,False,10.0
audi,a3,audi,22990,top-price,37816.0,150.0,2021-10-01,2021.0,10.0,petrol,germany,1,False,False,False,False,4.0
audi,a3,audi,34900,unknown,18900.0,150.0,2024-12-01,2024.0,12.0,petrol,germany,1,False,False,False,False,1.0
audi,a3,audi,23630,good-price,14712.0,150.0,2022-11-01,2022.0,11.0,2,germany,1,False,False,False,False,3.0
audi,a3,audi,6990,fair-price,117900.0,160.0,2010-03-01,2010.0,3.0,petrol,germany,1,False,False,False,False,15.0
audi,a3,audi,3990,somewhat-expensive,189245.0,102.0,2004-12-01,2004.0,12.0,petrol,germany,1,False,False,False,False,21.0
audi,a3,audi,24990,fair-price,60566.0,110.0,2022-11-01,2022.0,11.0,petrol,germany,1,False,False,False,False,3.0
audi,a3,audi,16950,top-price,193060.0,150.0,2020-11-01,2020.0,11.0,diesel,germany,1,False,False,False,False,5.0
audi,a3,audi,16990,top-price,74412.0,116.0,2018-07-01,2018.0,7.0,petrol,germany,1,False,False,False,False,7.0
audi,a3,audi,21950,top-price,43288.0,150.0,2022-12-01,2022.0,12.0,petrol,germany,1,False,False,False,False,3.0
audi,a3,audi,13890,fair-price,27488.0,105.0,2011-03-01,2011.0,3.0,petrol,germany,1,False,False,False,False,14.0
audi,a3,audi,22260,good-price,50000.0,110.0,2021-07-01,2021.0,7.0,petrol,germany,1,False,False,False,False,4.0
audi,a3,audi,16980,good-price,76000.0,179.0,2014-12-01,2014.0,12.0,petrol,germany,2,False,False,False,False,11.0
audi,a3,audi,13990,fair-price,74872.0,110.0,2015-10-01,2015.0,10.0,diesel,germany,2,False,False,False,False,10.0
audi,a3,audi,19890,top-price,65442.0,150.0,2020-11-01,2020.0,11.0,petrol,germany,2,False,False,False,False,5.0
audi,a3,audi,15490,fair-price,124998.0,179.0,2013-12-01,2013.0,12.0,petrol,germany,2,False,False,False,False,12.0
audi,a3,audi,24980,top-price,18487.0,116.0,2025-01-01,2025.0,1.0,petrol,germany,2,False,False,False,False,0.0
audi,a3,audi,19990,top-price,64000.0,150.0,2020-02-01,2020.0,2.0,petrol,germany,2,False,False,False,False,5.0
audi,a3,audi,19690,fair-price,135000.0,150.0,2022-10-01,2022.0,10.0,2,germany,2,False,False,False,False,3.0
audi,a3,audi,16190,top-price,103500.0,150.0,2017-02-01,2017.0,2.0,petrol,germany,2,False,False,False,False,8.0
audi,a3,audi,21500,good-price,79800.0,190.0,2018-01-01,2018.0,1.0,petrol,germany,2,False,False,False,False,7.0
audi,a3,audi,15470,fair-price,131000.0,150.0,2017-07-01,2017.0,7.0,petrol,germany,2,False,False,False,False,8.0
audi,a3,audi,13980,good-price,101400.0,116.0,2017-05-01,2017.0,5.0,petrol,germany,2,False,False,False,False,8.0
audi,a3,audi,24680,top-price,65856.0,150.0,2023-04-01,2023.0,4.0,diesel,germany,2,False,False,False,False,2.0
audi,a3,audi,18450,top-price,67616.0,110.0,2023-04-01,2023.0,4.0,petrol,germany,2,False,False,False,False,2.0
audi,a3,audi,8990,top-price,135000.0,125.0,2013-02-01,2013.0,2.0,petrol,germany,2,False,False,False,False,12.0
audi,a3,audi,14990,fair-price,73690.0,116.0,2018-12-01,2018.0,12.0,petrol,germany,2,False,False,False,False,7.0
audi,a3,audi,20530,top-price,91000.0,150.0,2022-09-01,2022.0,9.0,2,germany,2,False,False,False,False,3.0
audi,a3,audi,22990,somewhat-expensive,107850.0,116.0,2022-04-01,2022.0,4.0,diesel,germany,2,False,False,False,False,3.0
audi,a3,audi,20890,fair-price,40780.0,150.0,2017-05-01,2017.0,5.0,petrol,germany,2,False,False,False,False,8.0
audi,a3,audi,9950,top-price,174549.0,110.0,2015-04-01,2015.0,4.0,diesel,germany,3,False,False,False,False,10.0
audi,a3,audi,20449,top-price,69750.0,150.0,2021-05-01,2021.0,5.0,petrol,germany,3,False,False,False,False,4.0
audi,a3,audi,23900,top-price,11858.0,110.0,2023-03-01,2023.0,3.0,petrol,germany,3,False,False,False,False,2.0
audi,a3,audi,23990,top-price,76503.0,150.0,2023-08-01,2023.0,8.0,petrol,germany,3,False,False,False,False,2.0
audi,a3,audi,21440,fair-price,84781.0,150.0,2020-04-01,2020.0,4.0,petrol,germany,3,False,False,False,False,5.0
audi,a3,audi,20440,top-price,50000.0,150.0,2019-08-01,2019.0,8.0,petrol,germany,3,False,False,False,False,6.0
audi,a3,audi,20999,good-price,87290.0,150.0,2020-06-01,2020.0,6.0,diesel,germany,3,False,False,False,False,5.0
audi,a3,audi,19680,good-price,67447.0,116.0,2019-08-01,2019.0,8.0,diesel,germany,3,False,False,False,False,6.0
audi,a3,audi,24950,fair-price,19352.0,110.0,2022-08-01,2022.0,8.0,petrol,germany,3,False,False,False,False,3.0
audi,a3,audi,25499,top-price,60000.0,150.0,2022-08-01,2022.0,8.0,diesel,germany,3,False,False,False,False,3.0
audi,a3,audi,25840,unknown,1.0,150.0,,,,petrol,germany,3,False,False,False,False,
audi,a3,audi,25490,good-price,54152.0,150.0,2022-10-01,2022.0,10.0,2,germany,3,False,False,False,False,3.0
audi,a3,audi,22570,top-price,17319.0,110.0,2023-08-01,2023.0,8.0,petrol,germany,3,False,False,False,False,2.0
audi,a3,audi,14910,top-price,31721.0,116.0,2017-05-01,2017.0,5.0,petrol,germany,3,False,False,False,False,8.0
audi,a3,audi,23550,good-price,75025.0,150.0,2021-04-01,2021.0,4.0,diesel,germany,3,False,False,False,False,4.0
audi,a3,audi,20900,good-price,95604.0,150.0,2020-12-01,2020.0,12.0,petrol,germany,3,False,False,False,False,5.0
audi,a3,audi,18980,fair-price,95500.0,110.0,2023-05-01,2023.0,5.0,petrol,germany,3,False,False,False,False,2.0
audi,a3,audi,11590,fair-price,152900.0,125.0,2015-08-01,2015.0,8.0,petrol,germany,3,False,False,False,False,10.0
audi,a3,audi,15990,good-price,91000.0,150.0,2014-08-01,2014.0,8.0,2,germany,3,False,False,False,False,11.0
audi,a3,audi,13950,top-price,91700.0,179.0,2013-12-01,2013.0,12.0,petrol,germany,4,False,False,False,False,12.0
audi,a3,audi,20990,good-price,64791.0,150.0,2020-10-01,2020.0,10.0,petrol,germany,4,False,False,False,False,5.0
audi,a3,audi,29480,top-price,55190.0,200.0,2022-04-01,2022.0,4.0,diesel,germany,4,False,False,False,False,3.0
audi,a3,audi,25290,fair-price,64377.0,116.0,2022-07-01,2022.0,7.0,diesel,germany,4,False,False,False,False,3.0
audi,a3,audi,23990,good-price,57701.0,150.0,2022-08-01,2022.0,8.0,diesel,germany,4,False,False,False,False,3.0
audi,a3,audi,17200,top-price,100787.0,110.0,2022-01-01,2022.0,1.0,petrol,germany,4,False,False,False,False,3.0
audi,a3,audi,22990,fair-price,63250.0,110.0,2021-01-01,2021.0,1.0,petrol,germany,4,False,False,False,False,4.0
audi,a3,audi,36990,unknown,15.0,150.0,2025-04-01,2025.0,4.0,petrol,germany,4,False,False,False,False,0.0
audi,a3,audi,19900,fair-price,52000.0,150.0,2018-07-01,2018.0,7.0,petrol,germany,4,False,False,False,False,7.0
audi,a3,audi,13490,fair-price,76053.0,160.0,2013-04-01,2013.0,4.0,petrol,germany,4,False,False,False,False,12.0
audi,a3,audi,26740,top-price,6780.0,110.0,2024-03-01,2024.0,3.0,petrol,germany,4,False,False,False,False,1.0
