make,model,mileage,price,registration,fuel,brand,page
bmw,x1,293557,3400,02-2011,d,bmw,1
bmw,316,174771,799,12-2002,b,bmw,1
bmw,318,88000,10990,09-2012,d,bmw,1
bmw,318,155000,9900,05-2012,d,bmw,1
bmw,420,90000,17000,12-2014,d,bmw,1
bmw,120,470000,2480,02-2011,d,bmw,1
bmw,114,197000,6950,01-2016,d,bmw,1
bmw,320,230000,5690,07-2011,d,bmw,1
bmw,316,205000,3990,12-2010,d,bmw,1
bmw,318,190000,4500,05-2006,b,bmw,1
bmw,x1,216000,8799,06-2011,d,bmw,1
bmw,316,278826,6750,09-2015,d,bmw,1
bmw,x3,199000,9700,01-2016,d,bmw,1
bmw,x1,260000,8899,04-2016,d,bmw,1
bmw,318,115000,14900,09-2015,d,bmw,1
bmw,320,240000,6990,03-2012,d,bmw,1
bmw,116,75000,10590,05-2012,b,bmw,1
bmw,318,225900,7690,06-2012,d,bmw,1
bmw,116,71000,6990,05-2008,b,bmw,1
bmw,316,174771,799,12-2002,b,bmw,2
bmw,220,114700,11499,12-2016,b,bmw,2
bmw,116,240500,11400,01-2021,d,bmw,2
bmw,318,222981,7999,04-2016,d,bmw,2
bmw,116,407962,2900,11-2010,d,bmw,2
bmw,320,236000,1950,11-2002,b,bmw,2
bmw,320,141537,9999,11-2008,b,bmw,2
bmw,118,124100,4499,01-2008,b,bmw,2
bmw,116,165362,7900,12-2012,d,bmw,2
bmw,x6,224100,14911,05-2012,d,bmw,2
bmw,220,82301,11000,08-2014,b,bmw,2
bmw,x1,144520,8950,01-2013,d,bmw,2
bmw,120,329000,2900,01-2008,d,bmw,2
bmw,120,188500,10450,06-2016,b,bmw,2
bmw,x1,239350,8950,01-2012,d,bmw,2
bmw,120,249921,11995,09-2015,d,bmw,2
bmw,318,135000,2950,05-2007,b,bmw,2
bmw,318,165000,5999,05-2010,b,bmw,2
bmw,x4,215000,15900,05-2015,d,bmw,2
bmw,m3,65502,69999,07-2022,b,bmw,2
bmw,420,90000,17000,12-2014,d,bmw,3
bmw,320,297450,5800,03-2011,d,bmw,3
bmw,318,45222,21390,10-2020,d,bmw,3
bmw,x1,192483,5999,04-2011,d,bmw,3
bmw,320,314000,6767,03-2015,d,bmw,3
bmw,x5,255417,10700,12-2011,d,bmw,3
bmw,520,282043,10000,01-2013,d,bmw,3
bmw,316,264900,599,10-2003,b,bmw,3
bmw,x3,157000,8990,01-2009,d,bmw,3
