make,model,mileage,price,registration,fuel,country,brand,page
bmw,x1,293557,3400,02-2011,d,b,bmw,1
bmw,120,470000,2480,02-2011,d,d,bmw,1
bmw,114,197000,6950,01-2016,d,b,bmw,1
bmw,316,174771,799,12-2002,b,d,bmw,1
bmw,316,205000,3990,12-2010,d,i,bmw,1
bmw,220,185858,11990,02-2014,d,i,bmw,1
bmw,320,240000,6990,03-2012,d,i,bmw,1
bmw,318,190000,4500,05-2006,b,b,bmw,1
bmw,x1,216000,8799,06-2011,d,d,bmw,1
bmw,316,278826,6750,09-2015,d,nl,bmw,1
bmw,x3,199000,9700,01-2016,d,i,bmw,1
bmw,x1,260000,8899,04-2016,d,i,bmw,1
bmw,420,90000,17000,12-2014,d,i,bmw,1
bmw,318,225900,7690,06-2012,d,d,bmw,1
bmw,220,114700,11499,12-2016,b,d,bmw,1
bmw,318,222981,7999,04-2016,d,d,bmw,1
bmw,x5,24000,64999,11-2022,2,b,bmw,1
bmw,520,252000,7999,09-2012,d,a,bmw,1
bmw,320,236000,1950,11-2002,b,d,bmw,1
bmw,120,470000,2480,02-2011,d,d,bmw,2
bmw,116,407962,2900,11-2010,d,i,bmw,2
bmw,320,141537,9999,11-2008,b,nl,bmw,2
bmw,316,110696,9300,06-2013,b,d,bmw,2
bmw,316,264900,599,10-2003,b,d,bmw,2
bmw,116,165362,7900,12-2012,d,i,bmw,2
bmw,x6,224100,14911,05-2012,d,nl,bmw,2
bmw,318,165000,5999,05-2010,b,d,bmw,2
bmw,318,88000,10990,09-2012,d,i,bmw,2
bmw,220,82301,11000,08-2014,b,d,bmw,2
bmw,120,192729,4935,05-2008,b,nl,bmw,2
bmw,118,170000,12500,02-2018,d,i,bmw,2
bmw,x1,144520,8950,01-2013,d,d,bmw,2
bmw,120,329000,2900,01-2008,d,i,bmw,2
bmw,525,232000,8189,03-2013,d,d,bmw,2
bmw,x3,309000,7900,05-2012,d,a,bmw,2
bmw,x1,239350,8950,01-2012,d,nl,bmw,2
bmw,120,249921,11995,09-2015,d,nl,bmw,2
bmw,x4,215000,15900,05-2015,d,i,bmw,2
bmw,320,297450,5800,03-2011,d,d,bmw,2
bmw,114,197000,6950,01-2016,d,b,bmw,3
bmw,x1,192483,5999,04-2011,d,d,bmw,3
bmw,320,314000,6767,03-2015,d,d,bmw,3
bmw,x5,255417,10700,12-2011,d,d,bmw,3
bmw,520,282043,10000,01-2013,d,b,bmw,3
bmw,530,155000,20690,08-2015,d,d,bmw,3
bmw,120,188500,10450,06-2016,b,d,bmw,3
bmw,x3,157000,8990,01-2009,d,d,bmw,3
bmw,318,164507,11450,08-2015,d,b,bmw,3
bmw,x1,222160,7689,06-2016,b,d,bmw,3
bmw,418,192697,13490,04-2017,d,b,bmw,3
bmw,316,189750,7990,05-2014,d,d,bmw,3
bmw,116,189950,7500,03-2014,d,a,bmw,3
bmw,525,277000,7490,10-2008,d,d,bmw,3
bmw,x1,45900,18900,05-2022,d,i,bmw,3
bmw,320,175292,11980,09-2014,d,d,bmw,3
bmw,x2,113268,16900,11-2018,d,i,bmw,3
bmw,m550,319500,24970,04-2018,d,d,bmw,3
bmw,550,151921,9800,06-2010,b,d,bmw,3
bmw,320,183524,12790,01-2017,d,a,bmw,3
bmw,316,174771,799,12-2002,b,d,bmw,4
bmw,x1,149000,17900,10-2021,d,i,bmw,4
bmw,525,285000,2499,01-2004,b,nl,bmw,4
bmw,318,155000,9900,05-2012,d,i,bmw,4
bmw,m2,16438,64750,07-2024,b,b,bmw,4
bmw,i3,100000,13985,06-2020,e,d,bmw,4
bmw,318,115000,14900,09-2015,d,i,bmw,4
bmw,116,75000,18495,11-2021,d,b,bmw,4
bmw,x1,150000,12990,08-2017,d,b,bmw,4
bmw,118,206185,9799,03-2019,b,d,bmw,4
bmw,318,45222,21390,10-2020,d,b,bmw,4
bmw,520,210500,15899,05-2017,d,d,bmw,4
bmw,540,86149,35900,07-2018,b,d,bmw,4
bmw,116,109000,6490,10-2008,b,i,bmw,4
bmw,535,198736,18999,07-2016,d,d,bmw,4
bmw,x1,165000,13000,04-2017,d,i,bmw,4
bmw,120,13290,29980,04-2025,b,d,bmw,4
bmw,x5,87000,45999,01-2020,2,b,bmw,4
bmw,440,186258,23900,04-2017,b,b,bmw,4
bmw,i3,57954,9900,06-2016,e,nl,bmw,4
bmw,316,205000,3990,12-2010,d,i,bmw,5
bmw,540,85734,36900,03-2018,b,d,bmw,5
bmw,320,16500,39995,03-2025,b,b,bmw,5
bmw,530,199267,22500,04-2018,d,d,bmw,5
bmw,118,129180,13990,02-2018,b,d,bmw,5
bmw,116,94000,7480,03-2012,b,d,bmw,5
bmw,520,150000,16990,02-2019,d,i,bmw,5
bmw,116,75000,10590,05-2012,b,i,bmw,5
bmw,316,170100,1790,09-2002,b,d,bmw,5
bmw,116,129000,10000,09-2017,d,b,bmw,5
bmw,530,245278,13450,04-2013,d,nl,bmw,5
bmw,525,130000,20999,12-2016,d,d,bmw,5
bmw,330,28505,36900,08-2021,2,b,bmw,5
bmw,216,149600,9890,06-2017,b,i,bmw,5
bmw,325,150100,8990,11-2007,b,d,bmw,5
bmw,x1,55900,12300,04-2014,b,d,bmw,5
bmw,320,111421,20999,04-2020,d,d,bmw,5
bmw,x1,119986,8990,05-2011,b,d,bmw,5
bmw,x4,188000,18498,05-2018,d,d,bmw,5
bmw,116,70000,13900,02-2017,d,i,bmw,5
bmw,220,185858,11990,02-2014,d,i,bmw,6
bmw,420,96000,17999,02-2015,d,d,bmw,6
bmw,z4,113000,16900,10-2013,b,b,bmw,6
bmw,116,148500,4750,09-2010,b,d,bmw,6
bmw,x1,161000,10999,12-2013,d,d,bmw,6
bmw,120,67000,14980,10-2015,b,d,bmw,6
bmw,x3,261000,14900,07-2019,d,i,bmw,6
bmw,116,112300,14900,08-2021,d,i,bmw,6
bmw,420,33544,35950,07-2021,b,b,bmw,6
bmw,118,18000,19900,12-2023,b,i,bmw,6
bmw,740,214000,11990,10-2012,b,a,bmw,6
